,director_name,duration,gross,genres,movie_title,title_year,country,budget,imdb_score,movie_facebook_likes,actor1,actor2,actor3,GOB
0,Martin Scorsese,240.0,116866727.0,Biography|Comedy|Crime|Drama,The Wolf of Wall Street,2013,USA,100000000.0,8.2,138000,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,1.16866727
1,Shane Black,195.0,408992272.0,Action|Adventure|Sci-Fi,Iron Man 3,2013,USA,200000000.0,7.2,95000,Robert Downey Jr.,Jon Favreau,Don Cheadle,2.04496136
2,Quentin Tarantino,187.0,54116191.0,Crime|Drama|Mystery|Thriller|Western,The Hateful Eight,2015,USA,44000000.0,7.9,114000,Craig Stark,Jennifer Jason Leigh,Zoë Bell,1.229913431818182
3,Kenneth Lonergan,186.0,46495.0,Drama,Margaret,2011,USA,14000000.0,6.5,0,Matt Damon,Kieran Culkin,John Gallagher Jr.,0.0033210714285714284
4,Peter Jackson,186.0,258355354.0,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,2013,USA,225000000.0,7.9,83000,Aidan Turner,Adam Brown,James Nesbitt,1.1482460177777778
5,,183.0,330249062.0,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,0,USA,250000000.0,6.9,197000,Henry Cavill,Lauren Cohan,Alan D. Purwin,1.320996248
6,Peter Jackson,0.0,303001229.0,Adventure|Fantasy,The Hobbit: An Unexpected Journey,2012,USA,180000000.0,7.9,166000,Aidan Turner,Adam Brown,James Nesbitt,1.6833401611111112
7,Edward Hall,180.0,0.0,Drama|Romance,Restless,2012,UK,0.0,7.2,434,Rufus Sewell,Hayley Atwell,Charlotte Rampling,0.0
8,Joss Whedon,173.0,623279547.0,Action|Adventure|Sci-Fi,The Avengers,2012,USA,220000000.0,8.1,123000,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,2.83308885
9,Joss Whedon,173.0,623279547.0,Action|Adventure|Sci-Fi,The Avengers,2012,USA,220000000.0,8.1,123000,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,2.83308885
10,Tom Tykwer,172.0,27098580.0,Drama|Sci-Fi,Cloud Atlas,2012,GERMANY,102000000.0,0.0,124000,Tom Hanks,Jim Sturgess,Jim Broadbent,0.26567235294117647
11,,158.0,102515793.0,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo,2011,USA,90000000.0,7.8,54000,Robin Wright,Goran Visnjic,Joely Richardson,1.1390643666666667
12,Christopher Spencer,170.0,59696176.0,,Son of God,2014,USA,22000000.0,5.6,15000,Roma Downey,Amber Rose Revah,Darwin Shaw,2.7134625454545453
13,Christopher Nolan,169.0,187991439.0,Adventure|Drama|Sci-Fi,Interstellar,2014,USA,165000000.0,8.6,349000,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,1.1393420545454545
14,F. Gary Gray,167.0,161029270.0,Biography|Crime|Drama|History|Music,Straight Outta Compton,2015,USA,28000000.0,7.9,76000,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,5.751045357142857
15,Richard Linklater,165.0,25359200.0,Drama,Boyhood,2014,USA,4000000.0,8.0,92000,Ellar Coltrane,Lorelei Linklater,Libby Villari,6.3398
16,Quentin Tarantino,0.0,162804648.0,Drama|Western,Django Unchained,2012,USA,100000000.0,8.5,199000,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,1.62804648
17,Michael Bay,165.0,245428137.0,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,2014,USA,210000000.0,5.7,56000,Bingbing Li,Sophia Myles,Kelsey Grammer,1.1687054142857143
18,Christopher Nolan,164.0,448130642.0,Action|Thriller,The Dark Knight Rises,2012,USA,250000000.0,8.5,164000,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,1.792522568
19,Peter Jackson,164.0,255108370.0,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,2014,NEW ZEALAND,250000000.0,7.5,65000,Aidan Turner,Adam Brown,James Nesbitt,1.02043348
20,Tom Hooper,158.0,148775460.0,Drama|Musical|Romance,Les Misérables,2012,USA,61000000.0,7.6,144000,Hugh Jackman,Eddie Redmayne,Anne Hathaway,2.4389419672131147
21,Tom Hooper,158.0,148775460.0,Drama|Musical|Romance,Les Misérables,2012,USA,61000000.0,7.6,144000,Hugh Jackman,Eddie Redmayne,Anne Hathaway,2.4389419672131147
22,Kathryn Bigelow,157.0,95720716.0,Drama|History|Thriller,Zero Dark Thirty,2012,USA,40000000.0,7.4,39000,Jennifer Ehle,Harold Perrineau,Parker Sawyers,2.3930179
23,Ridley Scott,156.0,105219735.0,Action|Adventure|Drama|History,Robin Hood,2010,USA,200000000.0,6.7,17000,Mark Addy,William Hurt,Scott Grimes,0.526098675
24,,156.0,183635922.0,Adventure|Drama|Thriller|Western,The Revenant,2015,USA,135000000.0,8.1,190000,Leonardo DiCaprio,Tom Hardy,Lukas Haas,1.360266088888889
25,Michael Bay,154.0,352358779.0,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,2011,USA,195000000.0,6.3,46000,Glenn Morshower,Lester Speight,Kevin Dunn,1.8069680974358975
26,Denis Villeneuve,153.0,60962878.0,Crime|Drama|Mystery|Thriller,Prisoners,2013,USA,46000000.0,8.1,86000,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,1.325279956521739
27,Gnana Rajasekaran,153.0,0.0,Biography|Drama|History,Ramanujan,2014,INDIA,0.0,7.0,58,Mani Bharathi,Michael Lieber,Kevin McGowan,0.0
28,Marc Webb,153.0,262030663.0,Action|Adventure|Fantasy,The Amazing Spider-Man,2012,USA,230000000.0,7.0,56000,Emma Stone,Andrew Garfield,Chris Zylka,1.139263752173913
29,,151.0,228430993.0,Adventure|Drama|Sci-Fi,The Martian,2015,USA,108000000.0,8.1,153000,Matt Damon,Donald Glover,Benedict Wong,2.115101787037037
30,Ridley Scott,150.0,65007045.0,Action|Adventure|Drama,Exodus: Gods and Kings,2014,UK,140000000.0,6.1,51000,Christian Bale,María Valverde,Ben Mendelsohn,0.4643360357142857
31,Ridley Scott,150.0,65007045.0,Action|Adventure|Drama,Exodus: Gods and Kings,2014,UK,140000000.0,6.1,51000,Christian Bale,María Valverde,Ben Mendelsohn,0.4643360357142857
32,,150.0,182204440.0,Biography|Drama|History|War,Lincoln,2012,USA,65000000.0,7.4,71000,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,2.8031452307692306
33,Mike Leigh,150.0,3958500.0,Biography|Drama|History,Mr. Turner,2014,UK,0.0,6.8,0,Lesley Manville,Ruth Sheen,Karl Johnson,0.0
34,Gore Verbinski,0.0,89289910.0,Action|Adventure|Western,The Lone Ranger,2013,USA,215000000.0,6.5,48000,Johnny Depp,Ruth Wilson,Tom Wilkinson,0.4153019069767442
35,David Fincher,149.0,167735396.0,Crime|Drama|Mystery|Thriller,Gone Girl,2014,USA,61000000.0,8.1,146000,Patrick Fugit,Sela Ward,Emily Ratajkowski,2.7497605901639344
36,Bryan Singer,149.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,2014,USA,200000000.0,8.0,82000,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,1.16957493
37,Jay Oliva,148.0,0.0,Action|Animation|Crime|Sci-Fi|Thriller,"Batman: The Dark Knight Returns, Part 2",2013,USA,3500000.0,8.4,5000,Michael Emerson,Mark Valley,Grey Griffin,0.0
38,Christopher Nolan,148.0,292568851.0,Action|Adventure|Sci-Fi|Thriller,Inception,2010,USA,160000000.0,8.8,175000,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,1.82855531875
39,Paul Thomas Anderson,148.0,8093318.0,Comedy|Crime|Drama|Mystery|Romance,Inherent Vice,2014,USA,20000000.0,6.7,18000,Martin Dew,Katherine Waterston,Serena Scott Thomas,0.4046659
40,Sam Mendes,148.0,200074175.0,Action|Adventure|Thriller,Spectre,2015,UK,245000000.0,6.8,85000,Christoph Waltz,Rory Kinnear,Stephanie Sigman,0.8166292857142857
41,,147.0,407197282.0,Action|Adventure|Sci-Fi,Captain America: Civil War,2016,USA,250000000.0,8.2,72000,Robert Downey Jr.,Scarlett Johansson,Chris Evans,1.628789128
42,Michael Patrick King,146.0,95328937.0,Comedy|Drama|Romance,Sex and the City 2,2010,USA,100000000.0,4.3,0,Chris Noth,Liza Minnelli,Kristin Davis,0.95328937
43,Tate Taylor,146.0,169705587.0,Drama,The Help,2011,USA,25000000.0,8.1,75000,Emma Stone,Bryce Dallas Howard,Mike Vogel,6.78822348
44,Francis Lawrence,146.0,424645577.0,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire,2013,USA,130000000.0,7.6,82000,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,3.2665044384615385
45,Steven Spielberg,146.0,79883359.0,Drama|War,War Horse,2011,USA,66000000.0,7.2,28000,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,1.2103539242424242
46,Michael Bay,144.0,52822418.0,Action|Drama|Thriller|War,13 Hours,2016,USA,50000000.0,7.4,44000,Toby Stephens,James Badge Dale,David Costabile,1.05644836
47,Guillaume Canet,144.0,41229.0,Crime|Drama|Thriller,Blood Ties,2013,FRANCE,25500000.0,6.5,0,Mila Kunis,Lili Taylor,Billy Crudup,0.0016168235294117647
48,Paul Thomas Anderson,144.0,16377274.0,Drama,The Master,2012,USA,32000000.0,7.1,27000,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild,0.5117898125
49,Bryan Singer,144.0,154985087.0,Action|Adventure|Sci-Fi,X-Men: Apocalypse,2016,USA,178000000.0,7.3,54000,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,0.8707027359550562
50,Adam McKay,143.0,2175312.0,Comedy,Anchorman 2: The Legend Continues,2013,USA,50000000.0,6.3,41000,Harrison Ford,Will Ferrell,Steve Carell,0.04350624
51,Zack Snyder,143.0,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,2013,USA,225000000.0,7.2,118000,Henry Cavill,Christopher Meloni,Harry Lennix,1.2934291777777778
52,Sam Mendes,143.0,304360277.0,Action|Adventure|Thriller,Skyfall,2012,UK,200000000.0,7.8,80000,Albert Finney,Helen McCrory,Rory Kinnear,1.521801385
53,Sam Mendes,143.0,304360277.0,Action|Adventure|Thriller,Skyfall,2012,UK,200000000.0,7.8,80000,Albert Finney,Helen McCrory,Rory Kinnear,1.521801385
54,Baz Luhrmann,143.0,144812796.0,Drama|Romance,The Great Gatsby,2013,AUSTRALIA,105000000.0,7.3,115000,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,1.3791694857142858
55,Baz Luhrmann,143.0,144812796.0,Drama|Romance,The Great Gatsby,2013,AUSTRALIA,105000000.0,7.3,115000,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,1.3791694857142858
56,,143.0,0.0,Drama|Horror|Thriller,The Ridges,2011,USA,17350.0,3.0,33,Robbie Barnes,Alana Kaniewski,Brandon Landers,0.0
57,Steven Spielberg,142.0,72306065.0,Drama|History|Thriller,Bridge of Spies,2015,USA,40000000.0,7.6,55000,Tom Hanks,Mark Rylance,Amy Ryan,1.807651625
58,Marc Webb,142.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,2014,USA,200000000.0,6.7,41000,Emma Stone,Andrew Garfield,B.J. Novak,1.014269665
59,,142.0,407999255.0,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games,2012,USA,78000000.0,7.3,140000,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,5.230759679487179
60,Joss Whedon,141.0,458991599.0,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,2015,USA,250000000.0,7.5,118000,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,1.835966396
61,Timur Bekmambetov,141.0,0.0,Adventure|Drama|History,Ben-Hur,2016,USA,100000000.0,6.1,0,Morgan Freeman,Ayelet Zurer,Moises Arias,0.0
62,Timur Bekmambetov,141.0,0.0,Adventure|Drama|History,Ben-Hur,2016,USA,100000000.0,6.0,0,Morgan Freeman,Ayelet Zurer,Moises Arias,0.0
63,Timur Bekmambetov,141.0,0.0,Adventure|Drama|History,Ben-Hur,2016,USA,100000000.0,6.1,0,Morgan Freeman,Ayelet Zurer,Moises Arias,0.0
64,Justin Chadwick,141.0,8324748.0,Biography|Drama|History,Mandela: Long Walk to Freedom,2013,UK,35000000.0,7.1,13000,Terry Pheto,Fana Mokoena,Tony Kgoroge,0.23784994285714287
65,Oliver Stone,141.0,47307550.0,Crime|Drama|Thriller,Savages,2012,USA,45000000.0,6.5,28000,Demián Bichir,Shea Whigham,Gary Stretch,1.0512788888888889
66,David Dobkin,141.0,47105085.0,Crime|Drama,The Judge,2014,USA,50000000.0,7.4,47000,Robert Downey Jr.,Robert Duvall,Leighton Meester,0.9421017
67,Ryan Murphy,140.0,80574010.0,Drama|Romance,Eat Pray Love,2010,USA,60000000.0,5.7,26000,James Franco,Julia Roberts,Billy Crudup,1.3429001666666667
68,James Wan,140.0,350034110.0,Action|Crime|Thriller,Furious 7,2015,USA,190000000.0,7.2,94000,Jason Statham,Paul Walker,Vin Diesel,1.8422847894736842
69,Derek Cianfrance,140.0,21383298.0,Crime|Drama|Thriller,The Place Beyond the Pines,2012,USA,15000000.0,7.3,47000,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,1.4255532
70,Gavin O'Connor,140.0,13651662.0,Drama|Sport,Warrior,2011,USA,25000000.0,8.2,77000,Tom Hardy,Frank Grillo,Kevin Dunn,0.54606648
71,,139.0,150832203.0,Adventure|Mystery|Sci-Fi,Divergent,2014,USA,85000000.0,6.7,49000,Kate Winslet,Theo James,Mekhi Phifer,1.774496505882353
72,Gary Ross,139.0,20389967.0,Action|Biography|Drama|History|War,Free State of Jones,2016,USA,50000000.0,6.7,10000,Matthew McConaughey,Donald Watkins,Jessica Collins,0.40779934
73,Tate Taylor,139.0,30513940.0,Biography|Drama|Music,Get on Up,2014,USA,30000000.0,6.9,11000,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,1.0171313333333334
74,Terrence Malick,139.0,13303319.0,Drama|Fantasy,The Tree of Life,2011,USA,32000000.0,6.7,39000,Brad Pitt,Tye Sheridan,Fiona Shaw,0.41572871875
75,,138.0,150117807.0,Crime|Drama,American Hustle,2013,USA,40000000.0,7.3,63000,Jennifer Lawrence,Christian Bale,Bradley Cooper,3.752945175
76,Robert Zemeckis,138.0,93749203.0,Drama|Thriller,Flight,2012,USA,31000000.0,7.3,64000,Denzel Washington,Bruce Greenwood,Nadine Velazquez,3.0241678387096775
77,Darren Aronofsky,138.0,101160529.0,Action|Adventure|Drama,Noah,2014,USA,125000000.0,5.8,71000,Anthony Hopkins,Emma Watson,Logan Lerman,0.809284232
78,Martin Scorsese,138.0,127968405.0,Mystery|Thriller,Shutter Island,2010,USA,80000000.0,8.1,53000,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,1.5996050625
79,Ridley Scott,138.0,16969390.0,Crime|Drama|Thriller,The Counselor,2013,USA,25000000.0,5.3,24000,Michael Fassbender,Brad Pitt,Goran Visnjic,0.6787756
80,James Mangold,138.0,132550960.0,Action|Adventure|Sci-Fi|Thriller,The Wolverine,2013,USA,120000000.0,6.7,68000,Hugh Jackman,Tao Okamoto,Rila Fukushima,1.1045913333333333
81,Daniel Espinosa,137.0,1206135.0,Crime|Drama|Thriller,Child 44,0,CZECH REPUBLIC,50000000.0,6.4,18000,Tom Hardy,Fares Fares,Michael Nardone,0.0241227
82,,137.0,37304950.0,Biography|Crime|Drama,J. Edgar,2011,USA,35000000.0,6.6,16000,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,1.0658557142857144
83,Walter Salles,137.0,717753.0,Adventure|Drama,On the Road,2012,FRANCE,25000000.0,6.1,27000,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,0.02871012
84,,137.0,281666058.0,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2,2015,USA,160000000.0,6.6,38000,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,1.7604128625
85,Angelina Jolie Pitt,137.0,115603980.0,Biography|Drama|Sport|War,Unbroken,2014,USA,65000000.0,0.0,35000,Finn Wittrock,Jack O'Connell,Alex Russell,1.7785227692307692
86,Angelina Jolie Pitt,137.0,115603980.0,Biography|Drama|Sport|War,Unbroken,2014,USA,65000000.0,7.2,35000,Finn Wittrock,Jack O'Connell,Alex Russell,1.7785227692307692
87,Seth MacFarlane,136.0,42615685.0,Comedy|Western,A Million Ways to Die in the West,2014,USA,40000000.0,6.1,24000,Liam Neeson,Charlize Theron,Seth MacFarlane,1.065392125
88,Anthony Russo,136.0,259746958.0,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier,2014,USA,170000000.0,7.8,55000,Scarlett Johansson,Chris Evans,Hayley Atwell,1.5279232823529412
89,Rob Marshall,136.0,241063875.0,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides,2011,USA,250000000.0,6.7,58000,Johnny Depp,Sam Claflin,Stephen Graham,0.9642555
90,Adam Shankman,136.0,38509342.0,Comedy|Drama|Musical|Romance,Rock of Ages,2012,USA,75000000.0,5.9,33000,James Martin Kelly,Shane Hartline,Celina Beach,0.5134578933333334
91,,136.0,52474616.0,Drama,Wall Street: Money Never Sleeps,2010,USA,70000000.0,6.3,13000,Frank Langella,Austin Pendleton,John Buffalo Mailer,0.7496373714285715
92,Sadyk Sher-Niyaz,135.0,0.0,Action|Biography|Drama|History,Queen of the Mountains,2014,KYRGYZSTAN,1400000.0,8.7,0,Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev,0.0
93,Tony Gilroy,135.0,113165635.0,Action|Adventure|Thriller,The Bourne Legacy,2012,USA,125000000.0,6.7,31000,Jeremy Renner,Scott Glenn,Stacy Keach,0.90532508
94,Steve McQueen,134.0,56667870.0,Biography|Drama|History,12 Years a Slave,2013,USA,20000000.0,8.1,83000,Quvenzhané Wallis,Scoot McNairy,Taran Killam,2.8333935
95,Richard J. Lewis,134.0,7501404.0,Comedy|Drama,Barney's Version,2010,CANADA,0.0,7.3,0,Mark Addy,Atom Egoyan,Paul Gross,0.0
96,Paul Greengrass,134.0,107100855.0,Biography|Drama|Thriller,Captain Phillips,2013,USA,55000000.0,7.9,65000,Tom Hanks,Chris Mulkey,Michael Chernus,1.9472882727272727
97,David Ayer,134.0,85707116.0,Action|Drama|War,Fury,2014,USA,68000000.0,7.6,82000,Brad Pitt,Logan Lerman,Jim Parrack,1.2603987647058823
98,Clint Eastwood,0.0,47034272.0,Biography|Drama|Music|Musical,Jersey Boys,2014,USA,40000000.0,6.9,16000,Johnny Cannizzaro,Steve Schirripa,Scott Vance,1.1758568
